id_envio,id_usuario,direccion,ciudad,fecha_envio,estado
9.0,3.0,calle 123,cali,2026-04-26 10:19:37.237744,pendiente
5.0,1.0,none,cali,2026-04-20 10:19:37.237755,pendiente
7.0,1.0,none,medellín,2026-04-25 10:19:37.237773,pendiente
9.0,2.0,,,2026-04-27 10:19:37.237786,enviado
2.0,3.0,calle 123,bogotá,2026-04-27 10:19:37.237804,pendiente
3.0,3.0,carrera 45,bogotá,2026-04-30 10:19:37.237839,entregado
10.0,3.0,calle 123,,2026-04-27 10:19:37.237844,pendiente
7.0,2.0,carrera 45,,,pendiente
10.0,3.0,,,2026-04-25 10:19:37.237860,entregado
8.0,2.0,,bogotá,2026-04-24 10:19:37.237872,pendiente
9.0,3.0,calle 123,,2026-04-20 10:19:37.237877,entregado
3.0,2.0,,medellín,2026-04-21 10:19:37.237899,pendiente
5.0,2.0,calle 123,cali,2026-04-25 10:19:37.237927,enviado
10.0,2.0,calle 123,cali,2026-04-27 10:19:37.237938,pendiente
8.0,1.0,carrera 45,bogotá,,entregado
2.0,1.0,calle 123,cali,2026-04-28 10:19:37.237958,entregado
4.0,2.0,carrera 45,,2026-04-21 10:19:37.237967,pendiente
7.0,2.0,calle 123,cali,2026-04-29 10:19:37.237983,pendiente
5.0,2.0,,bogotá,2026-04-29 10:19:37.237994,enviado
1.0,1.0,carrera 45,medellín,2026-04-28 10:19:37.238008,entregado
4.0,1.0,carrera 45,cali,2026-04-23 10:19:37.238013,pendiente
4.0,1.0,carrera 45,cali,,pendiente
5.0,1.0,carrera 45,,2026-04-20 10:19:37.238024,pendiente
9.0,2.0,,bogotá,2026-04-25 10:19:37.238035,pendiente
2.0,1.0,,,2026-04-24 10:19:37.238062,pendiente
8.0,2.0,carrera 45,cali,2026-04-28 10:19:37.238068,enviado
7.0,3.0,calle 123,cali,2026-04-25 10:19:37.238099,entregado
4.0,3.0,carrera 45,medellín,2026-04-30 10:19:37.238104,pendiente
1.0,2.0,,cali,,enviado
6.0,2.0,none,medellín,2026-04-23 10:19:37.238151,pendiente
2.0,3.0,calle 123,bogotá,2026-04-21 10:19:37.238162,pendiente
5.0,3.0,calle 123,medellín,,entregado
7.0,2.0,,cali,2026-04-22 10:19:37.238174,pendiente
6.0,1.0,calle 123,,2026-04-22 10:19:37.238197,pendiente
2.0,3.0,carrera 45,medellín,2026-04-25 10:19:37.238219,pendiente
2.0,3.0,none,,2026-04-27 10:19:37.238236,pendiente
8.0,2.0,carrera 45,bogotá,2026-04-27 10:19:37.238274,entregado
9.0,2.0,,,2026-04-28 10:19:37.238286,pendiente
1.0,2.0,carrera 45,,2026-04-29 10:19:37.238302,enviado
5.0,1.0,,medellín,2026-04-22 10:19:37.238315,enviado
6.0,3.0,calle 123,medellín,2026-04-28 10:19:37.238321,pendiente
4.0,2.0,calle 123,medellín,2026-04-26 10:19:37.238326,pendiente
9.0,3.0,calle 123,cali,2026-04-24 10:19:37.238337,pendiente
4.0,1.0,calle 123,medellín,2026-04-22 10:19:37.238342,pendiente
8.0,3.0,carrera 45,cali,2026-04-24 10:19:37.238356,enviado
2.0,1.0,,bogotá,2026-04-29 10:19:37.238401,pendiente
7.0,1.0,calle 123,,,enviado
10.0,3.0,,cali,2026-04-20 10:19:37.238469,pendiente
4.0,1.0,none,,2026-04-21 10:19:37.238489,enviado
2.0,3.0,carrera 45,,2026-04-29 10:19:37.238500,pendiente
2.0,3.0,calle 123,medellín,2026-04-20 10:19:37.238506,pendiente
2.0,2.0,carrera 45,cali,2026-04-22 10:19:37.238511,pendiente
7.0,1.0,calle 123,,2026-04-26 10:19:37.238541,entregado
10.0,2.0,calle 123,medellín,,pendiente
1.0,2.0,,bogotá,2026-04-27 10:19:37.238587,entregado
2.0,3.0,carrera 45,bogotá,2026-04-24 10:19:37.238601,entregado
1.0,1.0,carrera 45,bogotá,2026-04-30 10:19:37.238607,entregado
1.0,1.0,carrera 45,cali,2026-04-27 10:19:37.238640,pendiente
1.0,3.0,calle 123,,,pendiente
10.0,3.0,calle 123,bogotá,,pendiente
4.0,1.0,carrera 45,bogotá,2026-04-25 10:19:37.238707,pendiente
6.0,2.0,carrera 45,bogotá,2026-04-23 10:19:37.238754,pendiente
4.0,2.0,none,medellín,2026-04-29 10:19:37.238769,pendiente
2.0,1.0,carrera 45,cali,2026-04-24 10:19:37.238774,pendiente
7.0,1.0,calle 123,medellín,2026-04-25 10:19:37.238780,entregado
4.0,3.0,carrera 45,cali,2026-04-24 10:19:37.238791,enviado
2.0,1.0,carrera 45,,,enviado
5.0,1.0,,bogotá,2026-04-20 10:19:37.238837,pendiente
5.0,2.0,carrera 45,bogotá,,pendiente
8.0,1.0,carrera 45,medellín,2026-04-29 10:19:37.238853,pendiente
6.0,2.0,calle 123,medellín,2026-04-26 10:19:37.238878,entregado
9.0,1.0,none,cali,2026-04-25 10:19:37.238884,enviado
4.0,3.0,carrera 45,cali,2026-04-22 10:19:37.238900,pendiente
4.0,2.0,,,2026-04-26 10:19:37.238911,entregado
5.0,2.0,calle 123,medellín,2026-04-28 10:19:37.238917,enviado
1.0,1.0,carrera 45,medellín,,pendiente
4.0,3.0,,,2026-04-30 10:19:37.238929,enviado
2.0,2.0,,,,pendiente
1.0,1.0,calle 123,,,pendiente
7.0,2.0,,,,enviado
10.0,2.0,carrera 45,medellín,,pendiente
5.0,3.0,calle 123,,2026-04-22 10:19:37.239001,entregado
9.0,2.0,carrera 45,,2026-04-27 10:19:37.239013,entregado
4.0,2.0,carrera 45,medellín,2026-04-23 10:19:37.239034,enviado
3.0,1.0,,,2026-04-23 10:19:37.239054,enviado
5.0,1.0,carrera 45,medellín,2026-04-29 10:19:37.239086,pendiente
10.0,3.0,carrera 45,cali,2026-04-25 10:19:37.239171,enviado
6.0,1.0,,cali,2026-04-22 10:19:37.239213,pendiente
3.0,1.0,carrera 45,cali,2026-04-21 10:19:37.239236,entregado
5.0,2.0,,cali,2026-04-21 10:19:37.239261,entregado
2.0,2.0,,cali,2026-04-20 10:19:37.239277,pendiente
5.0,2.0,none,medellín,2026-04-20 10:19:37.239287,pendiente
10.0,2.0,,medellín,2026-04-21 10:19:37.239311,pendiente
7.0,2.0,,bogotá,2026-04-23 10:19:37.239317,pendiente
4.0,3.0,calle 123,,2026-04-22 10:19:37.239327,pendiente
9.0,1.0,carrera 45,cali,2026-04-30 10:19:37.239341,enviado
9.0,1.0,,medellín,2026-04-24 10:19:37.239372,enviado
4.0,1.0,carrera 45,medellín,2026-04-22 10:19:37.239377,enviado
5.0,2.0,none,medellín,2026-04-26 10:19:37.239388,pendiente
4.0,1.0,,,2026-04-26 10:19:37.239399,pendiente
1.0,3.0,carrera 45,,2026-04-28 10:19:37.239412,enviado
2.0,3.0,calle 123,,2026-04-30 10:19:37.239417,pendiente
6.0,2.0,,cali,2026-04-22 10:19:37.239484,entregado
10.0,2.0,carrera 45,bogotá,,pendiente
7.0,3.0,,,2026-04-28 10:19:37.239622,pendiente
7.0,2.0,carrera 45,cali,2026-04-27 10:19:37.239635,enviado
9.0,1.0,none,bogotá,2026-04-22 10:19:37.239755,pendiente
1.0,3.0,carrera 45,,2026-04-27 10:19:37.239772,pendiente
5.0,2.0,calle 123,medellín,,pendiente
3.0,1.0,,bogotá,2026-04-27 10:19:37.239798,enviado
4.0,2.0,none,,2026-04-25 10:19:37.239804,pendiente
2.0,3.0,,,2026-04-22 10:19:37.239836,pendiente
2.0,3.0,none,bogotá,2026-04-28 10:19:37.239858,enviado
8.0,3.0,calle 123,bogotá,,entregado
6.0,3.0,,cali,2026-04-22 10:19:37.239870,enviado
8.0,2.0,carrera 45,medellín,2026-04-20 10:19:37.239877,enviado
7.0,3.0,,cali,2026-04-25 10:19:37.239888,enviado
1.0,3.0,none,medellín,2026-04-27 10:19:37.239903,pendiente
8.0,1.0,carrera 45,medellín,2026-04-30 10:19:37.239916,entregado
9.0,2.0,calle 123,medellín,2026-04-28 10:19:37.239923,pendiente
7.0,2.0,,bogotá,2026-04-29 10:19:37.239953,enviado
1.0,3.0,none,,2026-04-30 10:19:37.239960,entregado
9.0,2.0,calle 123,bogotá,2026-04-23 10:19:37.239966,enviado
1.0,3.0,calle 123,cali,,pendiente
1.0,1.0,calle 123,bogotá,2026-04-29 10:19:37.240071,entregado
7.0,1.0,,,2026-04-27 10:19:37.240085,pendiente
2.0,1.0,carrera 45,bogotá,2026-04-25 10:19:37.240091,pendiente
9.0,2.0,carrera 45,,2026-04-21 10:19:37.240097,enviado
9.0,3.0,,cali,2026-04-22 10:19:37.240142,entregado
10.0,2.0,,bogotá,2026-04-26 10:19:37.240172,pendiente
10.0,1.0,calle 123,medellín,2026-04-30 10:19:37.240183,enviado
4.0,1.0,none,bogotá,2026-04-26 10:19:37.240228,enviado
9.0,2.0,carrera 45,cali,2026-04-21 10:19:37.240245,pendiente
9.0,1.0,carrera 45,,2026-04-29 10:19:37.240258,enviado
4.0,2.0,,bogotá,,pendiente
3.0,2.0,carrera 45,,2026-04-30 10:19:37.240296,enviado
6.0,1.0,calle 123,cali,2026-04-24 10:19:37.240311,pendiente
5.0,2.0,carrera 45,medellín,2026-04-22 10:19:37.240316,pendiente
1.0,1.0,calle 123,,2026-04-22 10:19:37.240324,enviado
10.0,3.0,,bogotá,2026-04-30 10:19:37.240327,pendiente
5.0,2.0,,medellín,2026-04-28 10:19:37.240333,pendiente
1.0,2.0,,bogotá,2026-04-27 10:19:37.240357,pendiente
5.0,3.0,,medellín,2026-04-23 10:19:37.240364,enviado
3.0,2.0,,bogotá,2026-04-21 10:19:37.240371,pendiente
6.0,1.0,calle 123,cali,2026-04-22 10:19:37.240384,pendiente
5.0,3.0,,bogotá,2026-04-25 10:19:37.240393,entregado
1.0,1.0,,,,enviado
5.0,1.0,,cali,2026-04-25 10:19:37.240430,enviado
2.0,1.0,carrera 45,cali,2026-04-21 10:19:37.240449,enviado
2.0,1.0,none,cali,2026-04-22 10:19:37.240460,pendiente
4.0,1.0,carrera 45,,2026-04-26 10:19:37.240467,pendiente
8.0,3.0,,,2026-04-26 10:19:37.240473,pendiente
2.0,1.0,calle 123,cali,2026-04-30 10:19:37.240476,enviado
9.0,1.0,carrera 45,bogotá,2026-04-26 10:19:37.240480,entregado
10.0,2.0,carrera 45,cali,2026-04-25 10:19:37.240493,enviado
4.0,1.0,calle 123,,2026-04-20 10:19:37.240501,enviado
5.0,2.0,,medellín,2026-04-28 10:19:37.240507,entregado
10.0,1.0,,bogotá,,entregado
8.0,3.0,calle 123,bogotá,2026-04-21 10:19:37.240526,pendiente
2.0,2.0,,,2026-04-24 10:19:37.240543,entregado
8.0,2.0,calle 123,medellín,2026-04-25 10:19:37.240559,enviado
3.0,1.0,carrera 45,cali,2026-04-21 10:19:37.240569,pendiente
5.0,1.0,calle 123,cali,2026-04-25 10:19:37.240579,pendiente
7.0,1.0,calle 123,cali,2026-04-30 10:19:37.240585,pendiente
1.0,3.0,carrera 45,cali,2026-04-30 10:19:37.240599,enviado
4.0,3.0,calle 123,medellín,2026-04-25 10:19:37.240605,pendiente
6.0,2.0,carrera 45,medellín,2026-04-24 10:19:37.240633,pendiente
2.0,1.0,carrera 45,bogotá,2026-04-23 10:19:37.240636,enviado
7.0,3.0,carrera 45,,2026-04-30 10:19:37.240649,pendiente
10.0,2.0,calle 123,,2026-04-21 10:19:37.240656,pendiente
5.0,1.0,carrera 45,cali,2026-04-29 10:19:37.240676,entregado
7.0,3.0,,medellín,2026-04-22 10:19:37.240680,pendiente
2.0,3.0,calle 123,cali,,enviado
10.0,3.0,carrera 45,,2026-04-29 10:19:37.240697,enviado
10.0,2.0,,bogotá,2026-04-29 10:19:37.240705,pendiente
2.0,3.0,calle 123,cali,2026-04-28 10:19:37.240723,pendiente
2.0,1.0,carrera 45,medellín,2026-04-26 10:19:37.240729,entregado
1.0,3.0,calle 123,medellín,2026-04-20 10:19:37.240731,entregado
10.0,3.0,none,bogotá,2026-04-28 10:19:37.240737,pendiente
6.0,3.0,calle 123,medellín,2026-04-26 10:19:37.240750,entregado
8.0,3.0,none,bogotá,2026-04-20 10:19:37.240768,entregado
8.0,1.0,,,2026-04-27 10:19:37.240771,enviado
7.0,3.0,,medellín,2026-04-21 10:19:37.240776,enviado
6.0,2.0,carrera 45,,2026-04-23 10:19:37.240782,enviado
6.0,1.0,none,,2026-04-27 10:19:37.240793,pendiente
5.0,2.0,carrera 45,,2026-04-29 10:19:37.240796,entregado
2.0,3.0,none,,2026-04-24 10:19:37.240806,pendiente
3.0,3.0,carrera 45,cali,2026-04-26 10:19:37.240824,enviado
1.0,2.0,carrera 45,medellín,2026-04-27 10:19:37.240836,pendiente
4.0,2.0,,cali,2026-04-27 10:19:37.240871,entregado
1.0,1.0,none,bogotá,2026-04-29 10:19:37.240902,pendiente
10.0,2.0,calle 123,cali,2026-04-27 10:19:37.240922,pendiente
2.0,2.0,,cali,2026-04-21 10:19:37.240930,pendiente
6.0,1.0,carrera 45,medellín,2026-04-29 10:19:37.240945,entregado
7.0,3.0,,medellín,2026-04-24 10:19:37.240956,pendiente
5.0,1.0,carrera 45,cali,2026-04-25 10:19:37.240960,pendiente
8.0,2.0,carrera 45,,,entregado
4.0,1.0,none,medellín,2026-04-30 10:19:37.240988,pendiente
3.0,2.0,,medellín,2026-04-22 10:19:37.240997,pendiente
10.0,1.0,calle 123,bogotá,2026-04-30 10:19:37.241000,enviado
6.0,3.0,carrera 45,bogotá,2026-04-21 10:19:37.241003,enviado
10.0,1.0,carrera 45,cali,2026-04-25 10:19:37.241023,pendiente
8.0,1.0,carrera 45,,2026-04-21 10:19:37.241029,entregado
5.0,1.0,,cali,2026-04-29 10:19:37.241035,pendiente
5.0,1.0,calle 123,cali,,enviado
1.0,1.0,,medellín,,pendiente
1.0,1.0,,cali,2026-04-30 10:19:37.241083,entregado
2.0,3.0,,medellín,2026-04-25 10:19:37.241085,enviado
5.0,1.0,,bogotá,2026-04-25 10:19:37.241091,pendiente
8.0,2.0,,bogotá,2026-04-30 10:19:37.241099,pendiente
4.0,3.0,none,cali,2026-04-26 10:19:37.241102,entregado
10.0,3.0,calle 123,cali,,enviado
8.0,1.0,carrera 45,medellín,2026-04-26 10:19:37.241130,enviado
6.0,2.0,calle 123,cali,2026-04-27 10:19:37.241147,pendiente
6.0,2.0,carrera 45,,2026-04-24 10:19:37.241153,enviado
1.0,1.0,carrera 45,bogotá,2026-04-22 10:19:37.241159,entregado
4.0,2.0,,medellín,2026-04-20 10:19:37.241176,enviado
9.0,2.0,none,medellín,2026-04-21 10:19:37.241179,enviado
5.0,1.0,carrera 45,bogotá,,enviado
7.0,3.0,calle 123,bogotá,2026-04-21 10:19:37.241201,entregado
10.0,2.0,,cali,2026-04-27 10:19:37.241210,enviado
9.0,1.0,none,,2026-04-24 10:19:37.241216,pendiente
2.0,2.0,carrera 45,bogotá,2026-04-27 10:19:37.241246,pendiente
5.0,1.0,calle 123,,2026-04-22 10:19:37.241252,enviado
2.0,3.0,,cali,2026-04-29 10:19:37.241255,enviado
1.0,3.0,,,2026-04-25 10:19:37.241266,pendiente
4.0,3.0,calle 123,,,enviado
5.0,2.0,calle 123,bogotá,2026-04-27 10:19:37.241304,enviado
3.0,2.0,calle 123,,2026-04-30 10:19:37.241307,pendiente
2.0,3.0,calle 123,bogotá,2026-04-25 10:19:37.241326,entregado
1.0,3.0,calle 123,cali,2026-04-22 10:19:37.241371,entregado
5.0,1.0,,cali,2026-04-21 10:19:37.241376,entregado
3.0,1.0,calle 123,cali,2026-04-23 10:19:37.241385,entregado
9.0,2.0,,medellín,2026-04-24 10:19:37.241388,pendiente
6.0,2.0,carrera 45,,2026-04-28 10:19:37.241391,pendiente
5.0,2.0,,cali,2026-04-27 10:19:37.241418,pendiente
6.0,1.0,calle 123,bogotá,2026-04-27 10:19:37.241423,pendiente
6.0,3.0,carrera 45,medellín,,pendiente
2.0,3.0,carrera 45,,2026-04-26 10:19:37.241434,pendiente
9.0,1.0,,medellín,2026-04-25 10:19:37.241449,pendiente
2.0,1.0,carrera 45,medellín,2026-04-27 10:19:37.241458,pendiente
9.0,2.0,,,2026-04-30 10:19:37.241470,entregado
4.0,3.0,carrera 45,cali,2026-04-20 10:19:37.241479,pendiente
9.0,2.0,none,,2026-04-20 10:19:37.241484,enviado
10.0,1.0,calle 123,medellín,2026-04-27 10:19:37.241490,pendiente
10.0,3.0,calle 123,medellín,,entregado
6.0,2.0,carrera 45,bogotá,2026-04-25 10:19:37.241502,pendiente
1.0,3.0,carrera 45,medellín,2026-04-20 10:19:37.241535,pendiente
1.0,3.0,calle 123,bogotá,2026-04-23 10:19:37.241541,pendiente
6.0,1.0,calle 123,,2026-04-21 10:19:37.241549,enviado
4.0,2.0,calle 123,bogotá,2026-04-29 10:19:37.241552,pendiente
1.0,1.0,calle 123,cali,2026-04-24 10:19:37.241560,enviado
9.0,2.0,none,cali,2026-04-23 10:19:37.241565,pendiente
8.0,3.0,carrera 45,,2026-04-21 10:19:37.241574,enviado
5.0,3.0,carrera 45,cali,2026-04-25 10:19:37.241577,pendiente
8.0,3.0,,bogotá,2026-04-23 10:19:37.241587,entregado
8.0,1.0,none,medellín,2026-04-25 10:19:37.241625,pendiente
1.0,2.0,,medellín,2026-04-26 10:19:37.241633,entregado
10.0,1.0,carrera 45,medellín,,pendiente
7.0,3.0,carrera 45,cali,,pendiente
1.0,1.0,,,2026-04-26 10:19:37.241653,pendiente
2.0,3.0,calle 123,bogotá,2026-04-22 10:19:37.241659,entregado
2.0,3.0,calle 123,,2026-04-23 10:19:37.241662,enviado
2.0,1.0,,,2026-04-28 10:19:37.241667,pendiente
3.0,1.0,carrera 45,,2026-04-22 10:19:37.241673,enviado
9.0,2.0,,cali,2026-04-21 10:19:37.241679,pendiente
7.0,1.0,carrera 45,,2026-04-25 10:19:37.241687,pendiente
2.0,3.0,carrera 45,medellín,,pendiente
6.0,3.0,,,2026-04-30 10:19:37.241701,entregado
5.0,3.0,,medellín,2026-04-23 10:19:37.241703,pendiente
1.0,3.0,,medellín,,pendiente
4.0,2.0,,,2026-04-24 10:19:37.241729,enviado
10.0,3.0,calle 123,bogotá,2026-04-27 10:19:37.241735,enviado
9.0,3.0,carrera 45,cali,2026-04-29 10:19:37.241743,pendiente
10.0,2.0,,,2026-04-21 10:19:37.241746,pendiente
9.0,1.0,carrera 45,bogotá,,entregado
7.0,2.0,,,2026-04-27 10:19:37.241758,pendiente
2.0,2.0,calle 123,cali,2026-04-26 10:19:37.241787,enviado
9.0,2.0,carrera 45,bogotá,2026-04-21 10:19:37.241816,pendiente
9.0,1.0,,medellín,,enviado
9.0,3.0,,medellín,2026-04-21 10:19:37.241849,entregado
5.0,3.0,carrera 45,cali,2026-04-30 10:19:37.241852,pendiente
4.0,1.0,calle 123,bogotá,2026-04-23 10:19:37.241869,enviado
3.0,2.0,calle 123,cali,2026-04-23 10:19:37.241871,pendiente
